 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
  71	-0.002	-0.006	-0.017	 0.030	-0.041	 0.037	-0.019	 0.005	 0.069	 0.071	 0.082	 0.078	 0.045	 0.051	 0.045	 0.049	  7012	  6906	  8048	  6390	  8048	   03:15
  72	 0.018	 0.025	 0.004	-0.033	 0.012	 0.004	 0.013	 0.038	 0.080	 0.094	 0.073	 0.114	 0.046	 0.045	 0.046	 0.045	  6887	  5821	  7965	  7670	  7965	   03:15
  73	 0.004	 0.010	 0.006	-0.011	 0.020	-0.000	-0.008	-0.010	 0.077	 0.082	 0.082	 0.076	 0.049	 0.044	 0.046	 0.051	  6689	  5961	  7329	  8245	  8245	   03:09
  74	 0.007	-0.032	 0.002	 0.004	-0.010	-0.023	 0.004	-0.005	 0.078	 0.064	 0.086	 0.074	 0.045	 0.043	 0.046	 0.043	  5638	  7466	  7477	  7810	  7810	   03:19
  75	-0.015	-0.051	 0.012	 0.014	-0.014	-0.026	 0.031	 0.020	 0.096	 0.071	 0.096	 0.077	 0.042	 0.041	 0.050	 0.049	  5725	  7763	  7150	  7863	  7863	   03:20
  76	-0.004	-0.029	 0.001	 0.006	 0.009	 0.003	-0.009	 0.015	 0.074	 0.080	 0.103	 0.087	 0.043	 0.038	 0.047	 0.048	  6576	  7017	  7232	  7690	  7690	   03:21
  77	-0.008	-0.035	-0.003	 0.002	 0.015	 0.000	 0.025	 0.013	 0.078	 0.074	 0.080	 0.086	 0.040	 0.042	 0.045	 0.038	  6150	  7149	  7857	  7355	  7857	   03:19
  78	 0.000	-0.001	-0.013	 0.017	-0.010	 0.001	-0.019	 0.016	 0.079	 0.080	 0.069	 0.071	 0.041	 0.040	 0.049	 0.043	  6625	  6475	  8307	  7050	  8307	   03:09
  79	 0.040	 0.008	 0.003	-0.007	-0.008	 0.014	 0.015	 0.027	 0.088	 0.084	 0.080	 0.087	 0.045	 0.052	 0.048	 0.041	  5809	  6944	  7763	  7750	  7763	   03:13
  80	 0.020	 0.007	-0.006	 0.011	 0.031	-0.017	 0.008	 0.015	 0.089	 0.066	 0.077	 0.076	 0.041	 0.044	 0.047	 0.039	  5676	  7016	  8258	  7570	  8258	   03:11
  81	 0.004	-0.017	-0.005	-0.012	 0.006	 0.007	 0.014	 0.021	 0.075	 0.080	 0.096	 0.089	 0.050	 0.047	 0.038	 0.051	  6472	  6779	  7240	  7808	  7808	   02:47
  82	 0.016	 0.015	 0.034	-0.000	 0.017	-0.026	-0.003	 0.007	 0.081	 0.076	 0.090	 0.072	 0.052	 0.047	 0.040	 0.046	  6466	  6374	  6700	  8794	  8794	   02:53
  83	-0.021	-0.034	-0.001	-0.004	-0.014	 0.011	 0.018	-0.001	 0.069	 0.093	 0.086	 0.082	 0.046	 0.039	 0.050	 0.045	  7133	  6249	  7315	  7672	  7672	   02:43
  84	-0.001	-0.024	-0.001	 0.003	 0.006	-0.038	-0.018	 0.003	 0.070	 0.086	 0.075	 0.069	 0.042	 0.040	 0.047	 0.043	  6492	  6450	  7728	  7841	  7841	   02:43
  85	 0.017	 0.027	 0.022	 0.021	 0.013	-0.045	 0.003	 0.005	 0.091	 0.068	 0.084	 0.089	 0.050	 0.035	 0.043	 0.045	  6167	  6606	  7962	  7811	  7962	   02:59
  86	 0.015	 0.006	-0.029	-0.015	-0.004	-0.012	 0.012	-0.001	 0.090	 0.086	 0.078	 0.070	 0.049	 0.042	 0.047	 0.051	  5915	  6219	  8174	  7913	  8174	   02:57
  87	 0.006	-0.003	-0.002	 0.023	 0.006	 0.014	 0.009	 0.025	 0.086	 0.088	 0.086	 0.067	 0.042	 0.053	 0.038	 0.046	  6574	  6604	  7654	  7535	  7654	   02:51
  88	 0.023	 0.003	 0.005	-0.012	 0.006	-0.013	 0.004	-0.004	 0.070	 0.081	 0.074	 0.065	 0.046	 0.056	 0.050	 0.046	  6232	  6221	  7314	  8354	  8354	   02:49
  89	 0.021	 0.004	-0.020	-0.006	 0.010	-0.012	 0.016	-0.009	 0.065	 0.093	 0.082	 0.091	 0.043	 0.046	 0.049	 0.044	  6614	  5867	  8367	  7442	  8367	   02:51
  90	 0.013	-0.016	-0.012	-0.002	-0.010	-0.015	 0.000	 0.016	 0.072	 0.064	 0.079	 0.080	 0.043	 0.047	 0.041	 0.046	  5937	  7193	  7886	  7397	  7886	   02:47
  91	 0.002	-0.025	-0.011	 0.012	-0.001	-0.015	-0.007	 0.015	 0.079	 0.088	 0.091	 0.077	 0.045	 0.046	 0.041	 0.041	  6385	  6824	  7786	  7520	  7786	   02:47
  92	-0.010	 0.005	-0.002	 0.051	 0.014	 0.019	 0.019	-0.000	 0.081	 0.072	 0.067	 0.075	 0.047	 0.044	 0.044	 0.043	  6727	  6504	  8761	  6366	  8761	   02:49
  93	 0.008	-0.008	 0.023	-0.020	-0.020	-0.017	-0.031	-0.006	 0.068	 0.079	 0.063	 0.079	 0.046	 0.038	 0.045	 0.040	  6602	  6439	  7259	  8178	  8178	   02:51
  94	 0.007	 0.010	 0.010	 0.018	 0.047	-0.029	 0.025	 0.013	 0.083	 0.064	 0.066	 0.078	 0.050	 0.041	 0.048	 0.049	  5985	  6554	  8337	  7462	  8337	   02:51
  95	-0.037	-0.005	-0.011	-0.007	 0.012	-0.001	 0.007	-0.006	 0.073	 0.097	 0.076	 0.069	 0.051	 0.043	 0.040	 0.041	  7646	  5132	  7631	  7950	  7950	   02:47
  96	 0.008	 0.008	 0.012	 0.004	 0.028	-0.017	-0.024	-0.003	 0.069	 0.073	 0.093	 0.077	 0.049	 0.043	 0.049	 0.045	  6706	  6233	  7239	  8185	  8185	   02:47
  97	-0.022	 0.024	 0.014	-0.005	 0.005	-0.016	 0.034	-0.009	 0.080	 0.060	 0.068	 0.087	 0.047	 0.045	 0.044	 0.044	  6959	  5809	  7815	  7751	  7815	   02:57
  98	 0.010	-0.011	-0.041	-0.013	 0.001	 0.007	 0.002	 0.005	 0.089	 0.063	 0.087	 0.066	 0.042	 0.042	 0.041	 0.049	  5490	  7223	  7972	  7675	  7972	   02:47
